Country,Date,<OPEN>,<CLOSE>,<VOL>,GDP,GNI (USD),Population,Exchange Rate (AMA)
Poland,2021-10-03,937.926,937.6754999999999,35917156.4,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-10-10,937.5975000000001,937.9215,58909313.05,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-10-17,948.305,949.441,47131007.5,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-10-24,941.2365,938.3030000000001,43969101.0,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-10-31,933.4354999999999,932.193,36356755.55,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-11-07,927.065625,927.466875,45184734.8125,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-11-14,925.96875,922.07875,37543410.9375,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-11-21,909.3639999999999,903.4645,36925564.85,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-11-28,887.8,884.0155000000001,36197772.35,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-12-05,873.1004999999999,873.2760000000001,44692701.3,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-12-12,871.4889999999999,870.222,31869675.25,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-12-19,861.2185,857.756,42446529.4,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-12-26,845.27,843.795,33758627.1875,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2022-01-02,840.823125,844.970625,43412170.875,679000000000.0,648000000000.0,38307726.0,3.861916667
United Kingdom,2016-02-21,885.56,887.1675,3163636829.5,2700000000000.0,2640000000000.0,65655203.0,0.740634464
United Kingdom,2016-02-28,894.1360000000001,895.1719999999999,3158786583.8,2700000000000.0,2640000000000.0,65655203.0,0.740634464
United Kingdom,2016-03-06,902.534,904.326,3196852703.4,2700000000000.0,2640000000000.0,65655203.0,0.740634464
United Kingdom,2016-03-13,908.542,908.57,3475288480.0,2700000000000.0,2640000000000.0,65655203.0,0.740634464
United Kingdom,2016-03-20,912.094,912.4459999999999,3087325985.0,2700000000000.0,2640000000000.0,65655203.0,0.740634464
